Team,#,Pos.,FIFA Popular Name,,Birth Date,Shirt Name,Club,Height,Weight,Age
Argentina,3,DF,TAGLIAFICO Nicolas,,8/31/1992,TAGLIAFICO,AFC Ajax (NED),169,65,26
Argentina,22,MF,PAVON Cristian,,1/21/1996,PAVÓN,CA Boca Juniors (ARG),169,65,23
Argentina,15,MF,LANZINI Manuel,,2/15/1993,LANZINI,West Ham United FC (ENG),167,66,26
Argentina,18,DF,SALVIO Eduardo,,7/13/1990,SALVIO,SL Benfica (POR),167,69,28
Argentina,10,FW,MESSI Lionel,,6/24/1987,MESSI,FC Barcelona (ESP),170,72,31
Argentina,4,DF,ANSALDI Cristian,,9/20/1986,ANSALDI,Torino FC (ITA),181,73,32
Argentina,5,MF,BIGLIA Lucas,,1/30/1986,BIGLIA,AC Milan (ITA),175,73,33
Argentina,7,MF,BANEGA Ever,,6/29/1988,BANEGA,Sevilla FC (ESP),175,73,30
Argentina,14,DF,MASCHERANO Javier,,6/8/1984,MASCHERANO,Hebei China Fortune FC (CHN),174,73,34
Argentina,21,FW,DYBALA Paulo,,11/15/1993,DYBALA,Juventus FC (ITA),177,73,25
Argentina,19,FW,AGUERO Sergio,,6/2/1988,AGÜERO,Manchester City FC (ENG),172,74,30
Argentina,9,FW,HIGUAIN Gonzalo,,12/10/1987,HIGUAÍN,Juventus FC (ITA),184,75,31
Argentina,11,MF,DI MARIA Angel,,2/14/1988,DI MARÍA,Paris Saint-Germain FC (FRA),178,75,31
Argentina,20,MF,LO CELSO Giovani,,4/9/1996,LO CELSO,Paris Saint-Germain FC (FRA),177,75,22
Argentina,13,MF,MEZA Maximiliano,,12/15/1992,MEZA,CA Independiente (ARG),180,76,26
Argentina,8,DF,ACUNA Marcos,,10/28/1991,ACUÑA,Sporting CP (POR),172,77,27
Argentina,23,GK,CABALLERO Wilfredo,,9/28/1981,CABALLERO,Chelsea FC (ENG),186,80,37
Argentina,2,DF,MERCADO Gabriel,,3/18/1987,MERCADO,Sevilla FC (ESP),181,81,32
Argentina,17,DF,OTAMENDI Nicolas,,2/12/1988,OTAMENDI,Manchester City FC (ENG),181,81,31
Argentina,16,DF,ROJO Marcos,,3/20/1990,ROJO,Manchester United FC (ENG),189,82,29
Argentina,6,DF,FAZIO Federico,,3/17/1987,FAZIO,AS Roma (ITA),199,85,32
Argentina,12,GK,ARMANI Franco,,10/16/1986,ARMANI,CA River Plate (ARG),189,85,32
Argentina,1,GK,GUZMAN Nahuel,,2/10/1986,GUZMÁN,Tigres UANL (MEX),192,90,33
Australia,16,DF,BEHICH Aziz,,12/16/1990,BEHICH,Bursaspor (TUR),170,63,28
Australia,10,FW,KRUSE Robbie,,10/5/1988,KRUSE,VfL Bochum (GER),180,66,30
Australia,19,DF,RISDON Joshua,,7/27/1992,RISDON,WS Wanderers FC (AUS),169,70,26
Australia,3,DF,MEREDITH James,,4/5/1988,MEREDITH,Millwall FC (ENG),179,71,31
Australia,13,MF,MOOY Aaron,,9/15/1990,MOOY,Huddersfield Town FC (ENG),173,72,28
Australia,14,FW,MacLAREN Jamie,,7/29/1993,MACLAREN,Hibernian FC (SCO),178,72,25
Australia,21,FW,PETRATOS Dimitrios,,11/10/1992,PETRATOS,Newcastle United Jets FC (AUS),176,72,26
Australia,17,FW,ARZANI Daniel,,1/4/1999,ARZANI,Melbourne City FC (AUS),171,73,20
Australia,4,FW,CAHILL Tim,,12/6/1979,CAHILL,Millwall FC (ENG),180,76,39
Australia,8,MF,LUONGO Massimo,,9/25/1992,LUONGO,Queens Park Rangers FC (ENG),176,76,26
Australia,20,DF,SAINSBURY Trent,,1/5/1992,SAINSBURY,Grasshopper Club (SUI),183,76,27
Australia,22,MF,IRVINE Jackson,,3/7/1993,IRVINE,Hull City FC (ENG),180,77,26
Australia,5,DF,MILLIGAN Mark,,8/4/1985,MILLIGAN,Al Ahli SC (KSA),178,78,33
Australia,15,MF,JEDINAK Mile,,8/3/1984,JEDINAK,Aston Villa FC (ENG),188,78,34
Australia,9,FW,JURIC Tomi,,7/22/1991,JURIC,FC Luzern (SUI),190,80,27
Australia,1,GK,RYAN Mathew,,4/8/1992,RYAN,Brighton & Hove Albion FC (ENG),184,82,27
Australia,6,DF,JURMAN Matthew,,12/8/1989,JURMAN,Suwon Samsung Bluewings FC (KOR),190,83,29
Australia,7,FW,LECKIE Mathew,,2/4/1991,LECKIE,Hertha BSC (GER),181,84,28
Australia,2,DF,DEGENEK Milos,,4/28/1994,DEGENEK,Yokohama F-Marinos (JPN),187,85,24
Australia,11,FW,NABBOUT Andrew,,12/17/1992,NABBOUT,Urawa Reds (JPN),178,85,26
Australia,12,GK,JONES Brad,,3/19/1982,JONES,Feyenoord Rotterdam (NED),193,87,37
Australia,23,MF,ROGIC Tom,,12/16/1992,ROGIC,Celtic FC (SCO),189,88,26
Australia,18,GK,VUKOVIC Danny,,3/27/1985,VUKOVIC,KRC Genk (BEL),187,94,34
Belgium,14,FW,MERTENS Dries,,5/6/1987,MERTENS,SSC Napoli (ITA),169,61,31
Belgium,11,MF,CARRASCO Yannick,,9/4/1993,CARRASCO,Dalian Yifang FC (CHN),180,67,25
Belgium,7,MF,DE BRUYNE Kevin,,6/28/1991,DE BRUYNE,Manchester City FC (ENG),181,70,27
Belgium,16,MF,HAZARD Thorgan,,3/29/1993,T. HAZARD,VfL Borussia Mönchengladbach (GER),174,70,26
Belgium,17,MF,TIELEMANS Youri,,5/7/1997,TIELEMANS,AS Monaco (FRA),176,72,21
Belgium,6,MF,WITSEL Axel,,1/12/1989,WITSEL,Tianjin Quanjian FC (CHN),186,73,30
Belgium,10,FW,HAZARD Eden,,1/7/1991,E. HAZARD,Chelsea FC (ENG),173,74,28
Belgium,18,FW,JANUZAJ Adnan,,2/5/1995,JANUZAJ,Real Sociedad (ESP),180,75,24
Belgium,23,DF,DENDONCKER Leander,,4/15/1995,DENDONCKER,RSC Anderlecht (BEL),188,76,23
Belgium,21,FW,BATSHUAYI Michy,,10/2/1993,BATSHUAYI,Borussia Dortmund (GER),185,78,25
Belgium,3,DF,VERMAELEN Thomas,,11/14/1985,VERMAELEN,FC Barcelona (ESP),183,80,33
Belgium,2,DF,ALDERWEIRELD Toby,,3/2/1989,ALDERWEIRELD,Tottenham Hotspur FC (ENG),186,81,30
