airline,avail_seat_km_per_week,incidents_85_99,fatal_accidents_85_99,fatalities_85_99,incidents_00_14,fatal_accidents_00_14,fatalities_00_14,region
Aer Lingus,320906734,2,0,0,0,0,0,eu
Aeroflot*,1197672318,76,14,128,6,1,88,as
Aerolineas Argentinas,385803648,6,0,0,1,0,0,sa
Aeromexico*,596871813,3,1,64,5,0,0,na
Air Canada,1865253802,2,0,0,2,0,0,na
Air France,3004002661,14,4,79,6,2,337,eu
Air India*,869253552,2,1,329,4,1,158,as
Air New Zealand*,710174817,3,0,0,5,1,7,as
Alaska Airlines*,965346773,5,0,0,5,1,88,na
Alitalia,698012498,7,2,50,4,0,0,eu
All Nippon Airways,1841234177,3,1,1,7,0,0,as
American*,5228357340,21,5,101,17,3,416,na
Austrian Airlines,358239823,1,0,0,1,0,0,eu
Avianca,396922563,5,3,323,0,0,0,sa
British Airways*,3179760952,4,0,0,6,0,0,eu
Cathay Pacific*,2582459303,0,0,0,2,0,0,as
China Airlines,813216487,12,6,535,2,1,225,as
Condor,417982610,2,1,16,0,0,0,eu
COPA,550491507,3,1,47,0,0,0,sa
Delta / Northwest*,6525658894,24,12,407,24,2,51,na
Egyptair,557699891,8,3,282,4,1,14,me
El Al,335448023,1,1,4,1,0,0,me
Ethiopian Airlines,488560643,25,5,167,5,2,92,af
Finnair,506464950,1,0,0,0,0,0,eu
Garuda Indonesia,613356665,10,3,260,4,2,22,as
Gulf Air,301379762,1,0,0,3,1,143,me
Hawaiian Airlines,493877795,0,0,0,1,0,0,na
Iberia,1173203126,4,1,148,5,0,0,eu
Japan Airlines,1574217531,3,1,520,0,0,0,as
Kenya Airways,277414794,2,0,0,2,2,283,af
KLM*,1874561773,7,1,3,1,0,0,eu
Korean Air,1734522605,12,5,425,1,0,0,as
LAN Airlines,1001965891,3,2,21,0,0,0,sa
Lufthansa*,3426529504,6,1,2,3,0,0,eu
Malaysia Airlines,1039171244,3,1,34,3,2,537,as
Pakistan International,348563137,8,3,234,10,2,46,as
Philippine Airlines,413007158,7,4,74,2,1,1,as
Qantas*,1917428984,1,0,0,5,0,0,aus
Royal Air Maroc,295705339,5,3,51,3,0,0,me
SAS*,682971852,5,0,0,6,1,110,eu
Saudi Arabian,859673901,7,2,313,11,0,0,me
Singapore Airlines,2376857805,2,2,6,2,1,83,as
South African,651502442,2,1,159,1,0,0,af
Southwest Airlines,3276525770,1,0,0,8,0,0,na
Sri Lankan / AirLanka,325582976,2,1,14,4,0,0,as
SWISS*,792601299,2,1,229,3,0,0,eu
TACA,259373346,3,1,3,1,1,3,na
TAM,1509195646,8,3,98,7,2,188,sa
TAP - Air Portugal,619130754,0,0,0,0,0,0,eu
Thai Airways,1702802250,8,4,308,2,1,1,as
Turkish Airlines,1946098294,8,3,64,8,2,84,me
United / Continental*,7139291291,19,8,319,14,2,109,na
US Airways / America West*,2455687887,16,7,224,11,2,23,na
Vietnam Airlines,625084918,7,3,171,1,0,0,as
Virgin Atlantic,1005248585,1,0,0,0,0,0,eu
Xiamen Airlines,430462962,9,1,82,2,0,0,as
